,Valor,Fixo,Data,Categoria,Descrição
0,20.0,0,2024-01-03,Água,Água
1,3000.0,0,2023-12-30,Aluguel,Aluguel do salão
2,897.7,0,2023-12-30,Energia,Energia
3,158.7,0,2023-12-29,Água,Água
4,58.4,0,2023-12-28,Produtos,Potes

